#class tools::histo::h1d
#title Layer total energy
#dimension 1
#axis fixed 5 0.5 5.5
#annotation axis_x.title 
#bin_number 7
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
1,333.773,111404,333.773,333.773
1,17.5182,306.887,35.0364,70.0727
1,0.221573,0.0490945,0.664718,1.99415
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
