#class tools::histo::h1d
#title Layer total energy
#dimension 1
#axis fixed 5 0.5 5.5
#annotation axis_x.title 
#bin_number 7
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
20,52.4077,852.309,52.4077,52.4077
20,71.8508,1166.18,143.702,287.403
20,41.1936,382.742,123.581,370.743
20,100.077,2649.81,400.307,1601.23
20,4.25598,3.72036,21.2799,106.4
0,0,0,0,0
