#class tools::histo::h1d
#title Layer total energy
#dimension 1
#axis fixed 5 0.5 5.5
#annotation axis_x.title 
#bin_number 7
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
500,2161.63,72159,2161.63,2161.63
500,2269.72,62375.9,4539.44,9078.87
500,2215.77,73738.7,6647.3,19941.9
500,1382.15,31714.4,5528.58,22114.3
500,838.944,27906.9,4194.72,20973.6
0,0,0,0,0
