#class tools::histo::h1d
#title Layer total energy
#dimension 1
#axis fixed 5 0.5 5.5
#annotation axis_x.title 
#bin_number 7
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
500,17645.5,765763,17645.5,17645.5
500,5174.64,119092,10349.3,20698.5
500,1501.14,22473.1,4503.42,13510.3
500,419.957,4716.35,1679.83,6719.32
500,50.5185,184.307,252.593,1262.96
0,0,0,0,0
