#class tools::histo::h1d
#title Layer total energy
#dimension 1
#axis fixed 5 0.5 5.5
#annotation axis_x.title 
#bin_number 7
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
500,560853,7.42539e+08,560853,560853
500,1.19302e+06,2.96247e+09,2.38603e+06,4.77207e+06
500,805069,1.36078e+09,2.41521e+06,7.24562e+06
500,352127,2.94939e+08,1.40851e+06,5.63404e+06
500,122585,4.38748e+07,612926,3.06463e+06
0,0,0,0,0
